Ref	SEG	Example
MKE	1-4
ERR	5-5
LGH	6-9
DOE	10-17
N/A	18-36
DPS	37-44
N/A	45-53
TRN	54-63
ORI	64-92
N/A	93-93
DOA	94-101
AGN	102-110
SXD	111-118
COC	119-121
N/A	122-122
SSD	123-130
SSN	131-133
SLE	134-183
REC	184-186
UNT	187-194
JUV	195-195
NAM	196-225
SEX	226-226
RAC	227-227
DOB	228-235
NOM	236-281
N/A	282-335
