Ref	SEG	Example
MKE	1-4
ERR	5-5
LGH	6-9
DOE	10-17
ORG	18-21
OPR	22-27
AGY	28-36
DPS	37-44
N/A	45-53
TRN	54-63
SEQ	64-64
DOA	65-72
TRS	73-76
ORIP	77-85
PAD	86-93
PAF	94-94
GOCP	95-95
PON	96-103
POL	104-149
LDP	150-151
CONS	152-159
NAM	160-189
N/A	190-191
DOB	192-199
DMV	200-200
VIC	201-202
N/A	203-252
