Ref	SEG	Example
MKE	1-4
ERR	5-5
LGH	6-9
DOE	10-17
ORG	18-21
OPR	22-27
N/A	28-36
DPS	37-44
DOS	45-52
N/A	53-53
TRN	54-63
SEQ	64-64
DOA	65-72
TRS	73-76
CSC	77-77
PGMT1	78-80
PGM1	81-130
PGMT2	131-133
PGM2	134-183
PGMT3	184-186
PGM3	187-236
PGMT4	237-239
PGM4	240-289
PGMT5	290-292
PGM5	293-342
N/A	343-442
