Ref	SEG	Example
MKE	1-4
ERR	5-5
LGH	6-9
DOE	10-17
ORG	18-21
OPR	22-27
DES	28-36
DPS	37-44
N/A	45-53
AKA1	54-83
AKA2	84-113
AKA3	114-143
AKA4	144-173
SMT1	174-183
SMT2	184-193
SMT3	194-203
ADB1	204-211
ADB2	212-219
MNU1	220-234
MNU2	235-249
SOC	250-258
TRN	259-268
OCA	269-280
ORIA	281-289
MISC	290-358
