Date	Name	Location	Amount
9/9/2023	Circle K	Phoenix Arizona	1.18
9/9/2023	Taco Bell	Phoenix Arizona	10.28
9/10/2023	APS(Power)	Phoenix Arizona	228.39
9/14/2023	T-Mobile	Phoenix Arizona	20.00
9/15/2023	Walmart	Phoenix Arizona	53.29
9/15/2023	Walmart	Phoenix Arizona	3.66
9/15/2023	Frys	Phoenix Arizona	12.11
9/15/2023	PandaExpress	Phoenix Arizona	13.30
9/15/2023	Amazon	Phoenix Arizona	3.49
9/16/2023	SWGas	Phoenix Arizona	21.11
9/16/2023	Dennys	Phoenix Arizona	49.00
9/17/2023	CenturyLink	Phoenix Arizona	49.00
9/17/2023	Pride Gas	Phoenix Arizona	62.00
9/18/2023	Amazon	Phoenix Arizona	32.37
9/19/2023	Amazon	Phoenix Arizona	82.55
9/22/2023	Walmart	Phoenix Arizona	52.84
9/22/2023	PandaExpress	Phoenix Arizona	14.30
9/22/2023	GoodWill	Phoenix Arizona	10.00
9/23/2023	Walmart	Phoenix Arizona	13.94
9/23/2023	Ace Hardware	Phoenix Arizona	7.00
9/25/2023	Ebay	Phoenix Arizona	10.19
9/25/2023	Amazon	Phoenix Arizona	38.89
9/25/2023	Amazon	Phoenix Arizona	4.31
9/27/2023	BoardgameArena	Phoenix Arizona	5.00
9/29/2023	Walmart	Phoenix Arizona	9.06
9/29/2023	Walmart	Phoenix Arizona	28.17
9/29/2023	PandaExpress	Phoenix Arizona	13.08
9/30/2023	Ace Hardware	Phoenix Arizona	19.00
9/30/2023	Ace Hardware	Phoenix Arizona	4.31
9/30/2023	home depot	Phoenix Arizona	30.74
9/30/2023	Circle K	Phoenix Arizona	1.18
9/30/2023	Taco Bell	Phoenix Arizona	7.00
10/2/2023	Ebay	Phoenix Arizona	61.05
10/3/2023	Amazon	Phoenix Arizona	20.48
10/3/2023	AmericanFivestar	Phoenix Arizona	75.00
10/3/2023	Safeway	Phoenix Arizona	5.08
10/4/2023	Metro	Phoenix Arizona	2.00
10/6/2023	PandaExpress	Phoenix Arizona	13.30
10/7/2023	Walmart	Phoenix Arizona	38.81
10/7/2023	Ace Hardware	Phoenix Arizona	49.69
10/7/2023	Ace Hardware	Phoenix Arizona	5.39
10/7/2023	Ace Hardware	Phoenix Arizona	21.00
10/7/2023	Ace Hardware	Phoenix Arizona	3.98
10/8/2023	Walmart	Phoenix Arizona	1.83
10/8/2023	Ace Hardware	Phoenix Arizona	4.00
10/8/2023	home depot	Phoenix Arizona	7.55
10/13/2023	APS(Power)	Phoenix Arizona	131.77
10/13/2023	SWGas	Phoenix Arizona	27.72
10/13/2023	Walmart	Phoenix Arizona	57.25
10/14/2023	T-Mobile	Phoenix Arizona	20.00
10/14/2023	PickAndPull	Phoenix Arizona	3.00
10/14/2023	PickAndPull	Phoenix Arizona	44.82
10/14/2023	PickAndPull	Phoenix Arizona	11.02
10/14/2023	Pride Gas	Phoenix Arizona	64.00
10/15/2023	Amazon	Phoenix Arizona	16.11
10/15/2023	Carwash	Phoenix Arizona	13.00
10/17/2023	CenturyLink	Phoenix Arizona	49.00
10/17/2023	Metro	Phoenix Arizona	2.00
10/18/2023	AmericanFivestar	Phoenix Arizona	300.00
10/19/2023	Metro	Phoenix Arizona	2.00
10/20/2023	Walmart	Phoenix Arizona	72.86
10/20/2023	PandaExpress	Phoenix Arizona	10.49
10/21/2023	Little Caesars	Phoenix Arizona	17.27
